date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:13	102/102	U-----	200	untouched ('OK')	text/plain	etag:%22cce338ec5262bfc7bed278254a9227be%22	https://reza-lava-portfolio.framer.ai/robots.txt		(from )
16:52:14	377704/377704	U--M-Z	200	updated ('OK')	text/html	etag:%2230fedb60dad1ae7b3dc61bf516588686%22	https://reza-lava-portfolio.framer.ai/	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/index.html	(from )
16:52:15	998/998	U-----	200	untouched ('')	image/png	etag:%2238dea030c2506f737468cd7468a58238%22	https://framerusercontent.com/images/o3nHVdVReGInJ3BAvEeDAHVirRI.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/o3nHVdVReGInJ3BAvEeDAHVirRI.png	(from https://reza-lava-portfolio.framer.ai/)
16:52:15	411021/411021	U--M-Z	200	updated ('OK')	text/html	etag:%222acfeb5732616fef67d4591a9d322896%22	https://reza-lava-portfolio.framer.ai/about	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/about.html	(from https://reza-lava-portfolio.framer.ai/)
16:52:17	50245/50245	---MC-	200	added ('OK')	image/jpeg	etag:%229bde3a76aca794c63fc1228eb2559a55%22	https://framerusercontent.com/images/gL0paWZWCzMXlDe4ZjxPND8kS0U.jpg	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/gL0paWZWCzMXlDe4ZjxPND8kS0U.jpg	(from https://reza-lava-portfolio.framer.ai/)
16:52:17	96464/96464	U-----	200	untouched ('')	image/jpeg	etag:%222db948b50d888198535d11604779f6a1%22	https://framerusercontent.com/assets/AWHgIFTHfl6GgWKWMVz5ukzau8.jpg	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/assets/AWHgIFTHfl6GgWKWMVz5ukzau8.jpg	(from https://reza-lava-portfolio.framer.ai/)
16:52:17	23234/23234	U-----	200	untouched ('')	image/png	etag:%226cdb7082d8c2ec93a128db3b1916d2a4%22	https://framerusercontent.com/images/XcowFxNqJYEkOLQfCB2mspH2EH8.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/XcowFxNqJYEkOLQfCB2mspH2EH8.png	(from https://reza-lava-portfolio.framer.ai/)
16:52:17	159518/159518	U--M-Z	200	updated ('OK')	text/html	etag:%22007e9537ee9eac21e710e5b6f4c6dfa0%22	https://reza-lava-portfolio.framer.ai/contact	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/contact.html	(from https://reza-lava-portfolio.framer.ai/)
16:52:17	310885/310885	U--M-Z	200	updated ('OK')	text/html	etag:%22ab272709cfaefa7dac1293290bcd0549%22	https://reza-lava-portfolio.framer.ai/work	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/work.html	(from https://reza-lava-portfolio.framer.ai/)
16:52:17	3381/3381	U-----	200	untouched ('')	image/png	etag:%227ad6c9762dd7f38ef71ae62781077801%22	https://framerusercontent.com/images/Y13hCfgzbgyDhM3mKXuSebESxs.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/Y13hCfgzbgyDhM3mKXuSebESxs.png	(from https://reza-lava-portfolio.framer.ai/)
