date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:51	102/102	U-----	200	untouched ('OK')	text/plain	etag:%22cce338ec5262bfc7bed278254a9227be%22	https://reza-lava-portfolio.framer.ai/robots.txt		(from )
14:27:51	330264/330264	U--M-Z	200	updated ('OK')	text/html	etag:%229746db1f7da7d74b5ca7d385587f555f%22	https://reza-lava-portfolio.framer.ai/	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/index.html	(from )
14:27:53	362208/362208	U--M-Z	200	updated ('OK')	text/html	etag:%2219084c60f5c5561c9b008c0b38d89513%22	https://reza-lava-portfolio.framer.ai/about	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/about.html	(from https://reza-lava-portfolio.framer.ai/)
14:27:53	998/998	U--MC-	200	updated ('OK')	image/png	etag:%2238dea030c2506f737468cd7468a58238%22	https://framerusercontent.com/images/o3nHVdVReGInJ3BAvEeDAHVirRI.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/o3nHVdVReGInJ3BAvEeDAHVirRI.png	(from https://reza-lava-portfolio.framer.ai/)
14:27:55	9060/9060	---MC-	200	added ('OK')	image/png	etag:%22cabed7468cb2d333c466fb4cd0db3f67%22	https://framerusercontent.com/images/yrHvoCbnLDgEunCgWEFDzg0NbY.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/yrHvoCbnLDgEunCgWEFDzg0NbY.png	(from https://reza-lava-portfolio.framer.ai/)
14:27:55	96464/96464	U-----	200	untouched ('')	image/jpeg	etag:%222db948b50d888198535d11604779f6a1%22	https://framerusercontent.com/assets/AWHgIFTHfl6GgWKWMVz5ukzau8.jpg	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/assets/AWHgIFTHfl6GgWKWMVz5ukzau8.jpg	(from https://reza-lava-portfolio.framer.ai/)
14:27:55	123164/123164	U--M-Z	200	updated ('OK')	text/html	etag:%225ff9a749b438426f73cc45c15c71f386%22	https://reza-lava-portfolio.framer.ai/contact	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/contact.html	(from https://reza-lava-portfolio.framer.ai/)
14:27:55	363066/363066	U--M-Z	200	updated ('OK')	text/html	etag:%22f01a02ef62a14574875e00bb364046be%22	https://reza-lava-portfolio.framer.ai/work	C:/My%20Web%20Sites/My%20Portfolio/reza-lava-portfolio.framer.ai/work.html	(from https://reza-lava-portfolio.framer.ai/)
14:27:56	15393/15393	---MC-	200	added ('OK')	image/png	etag:%22009193304e8c521a24ae27fff9fffee4%22	https://framerusercontent.com/images/6fxY5d8U0FBXBJ0FI17hnT1PQ.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/6fxY5d8U0FBXBJ0FI17hnT1PQ.png	(from https://reza-lava-portfolio.framer.ai/)
14:27:56	23234/23234	U--MC-	200	updated ('OK')	image/png	etag:%226cdb7082d8c2ec93a128db3b1916d2a4%22	https://framerusercontent.com/images/XcowFxNqJYEkOLQfCB2mspH2EH8.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/XcowFxNqJYEkOLQfCB2mspH2EH8.png	(from https://reza-lava-portfolio.framer.ai/)
14:27:57	6846/6846	U--MC-	200	updated ('OK')	image/png	etag:%2262d8ee37eb2e82c1b654c061005863a4%22	https://framerusercontent.com/images/TnhjZCtAVNf7iuLp3S8INg4iQ.png	C:/My%20Web%20Sites/My%20Portfolio/framerusercontent.com/images/TnhjZCtAVNf7iuLp3S8INg4iQ.png	(from https://reza-lava-portfolio.framer.ai/)
